geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062701	Cyage	Cyage		-2.4302	29.6095	H	STMI	RW		15				0		1815	Africa/Kigali	2009-11-28
7062702	Nyakigezi	Nyakigezi		-2.4198	29.6132	H	STMI	RW		15				0		1800	Africa/Kigali	2009-11-28
7062703	Agahararo	Agahararo		-2.4169	29.6172	H	STM	RW		15				0		1767	Africa/Kigali	2009-11-28
7062704	Rutugunguru	Rutugunguru		-2.4133	29.6215	H	STMI	RW		15				0		1771	Africa/Kigali	2009-11-28
7062705	Gasenyi	Gasenyi		-2.4085	29.6095	H	STMI	RW		15				0		1810	Africa/Kigali	2009-11-28
7062706	Gasururu	Gasururu		-2.4123	29.6247	H	STMI	RW		15				0		1739	Africa/Kigali	2009-11-28
7062707	Karucondo	Karucondo		-2.4227	29.635	H	STMI	RW		15				0		1694	Africa/Kigali	2009-11-28
7062708	Mwumba	Mwumba		-2.4218	29.6366	H	STMI	RW		15				0		1707	Africa/Kigali	2009-11-28
7062709	Kibuvumu	Kibuvumu		-2.4225	29.6349	H	STMI	RW		15				0		1694	Africa/Kigali	2009-11-28
7062710	Gitindo	Gitindo		-2.4089	29.6459	H	STM	RW		15				0		1633	Africa/Kigali	2009-11-28
7062711	Kaburarurango	Kaburarurango		-2.4091	29.646	H	STM	RW		15				0		1633	Africa/Kigali	2009-11-28
7062712	Rukondo	Rukondo		-2.4163	29.6654	H	STM	RW		15				0		1580	Africa/Kigali	2009-11-28
7062713	Nyakagezi	Nyakagezi		-2.4062	29.6588	H	STMI	RW		15				0		1631	Africa/Kigali	2009-11-28
7062714	Busenyeye	Busenyeye		-2.4045	29.6591	H	STMI	RW		15				0		1667	Africa/Kigali	2009-11-28
7062715	Rudaga	Rudaga		-2.4641	29.5622	H	STMI	RW		15				0		1911	Africa/Kigali	2009-11-28
7062716	Cyamahwa	Cyamahwa		-2.4641	29.5629	H	STMI	RW		15				0		1911	Africa/Kigali	2009-11-28
